中文名,拉丁名,保护级别,科,family,目,order,纲,class,主管部门
蜂猴（所有种）,Nycticebus spp.,Ⅰ,懒猴科,Lorisidae,灵长目,Primates,哺乳纲,Mammalia,林业
短尾猴,Macaca arctoides,Ⅱ,猴科,Cercopithecidae,灵长目,Primates,哺乳纲,Mammalia,林业
熊猴,Macaca assamensis,Ⅰ,猴科,Cercopithecidae,灵长目,Primates,哺乳纲,Mammalia,林业
台湾猴,Macaca cyclopis,Ⅰ,猴科,Cercopithecidae,灵长目,Primates,哺乳纲,Mammalia,林业
猕猴,Macaca mulatta,Ⅰ,猴科,Cercopithecidae,灵长目,Primates,哺乳纲,Mammalia,林业
豚尾猴,Macaca nemestrina,Ⅰ,猴科,Cercopithecidae,灵长目,Primates,哺乳纲,Mammalia,林业
藏酋猴,Macaca thibetana,Ⅱ,猴科,Cercopithecidae,灵长目,Primates,哺乳纲,Mammalia,林业
叶猴属（所有种）,Presbytis spp.,Ⅰ,猴科,Cercopithecidae,灵长目,Primates,哺乳纲,Mammalia,林业
金丝猴（所有种）,Rhinopithecus spp.,Ⅰ,猴科,Cercopithecidae,灵长目,Primates,哺乳纲,Mammalia,林业
长臂猿（所有种）,Hylobates spp.,Ⅰ,猩猩科,Pongidae,灵长目,Primates,哺乳纲,Mammalia,林业
中华穿山甲,Manis pentadactyla,Ⅱ,鲮鲤科,Manidae,鳞甲目,Pholidota,哺乳纲,Mammalia,林业
豺,Cuon alpinus,Ⅱ,犬科,Canidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
黑熊,Selenarctos thibetanus,Ⅱ,熊科,Ursidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
棕熊,Ursus arctos,Ⅱ,熊科,Ursidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
马来熊,Helarctos malayanus,Ⅰ,熊科,Ursidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
小熊猫,Ailurus fulgens,Ⅱ,浣熊科,Procyonidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
大熊猫,Ailuropoda melanoleuca,Ⅰ,大熊猫科,Ailuropodidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
石貂,Martes foina,Ⅱ,鼬科,Mustelidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
紫貂,Martes zibellina,Ⅰ,鼬科,Mustelidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
黄喉貂,Martes flavigula,Ⅱ,鼬科,Mustelidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
貂熊,Gulo gulo,Ⅰ,鼬科,Mustelidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
水獭（所有种）,Lutra spp.,Ⅱ,鼬科,Mustelidae,食肉目,Carnivora,哺乳纲,Mammalia,渔业
小爪水獭,Aonyx cinerea,Ⅱ,鼬科,Mustelidae,食肉目,Carnivora,哺乳纲,Mammalia,渔业
斑林狸,Prionodon pardicolor,Ⅱ,灵猫科,Viverridae,食肉目,Carnivora,哺乳纲,Mammalia,林业
大灵猫,Viverra zibetha,Ⅱ,灵猫科,Viverridae,食肉目,Carnivora,哺乳纲,Mammalia,林业
小灵猫,Viverricula indica,Ⅱ,灵猫科,Viverridae,食肉目,Carnivora,哺乳纲,Mammalia,林业
熊狸,Arctictis binturong,Ⅰ,灵猫科,Viverridae,食肉目,Carnivora,哺乳纲,Mammalia,林业
草原斑猫,Felis lybica (F. silvestris),Ⅱ,猫科,Felidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
荒漠猫,Felis bieti,Ⅱ,猫科,Felidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
丛林猫,Felis chaus,Ⅱ,猫科,Felidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
猞猁,Felis lynx,Ⅱ,猫科,Felidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
兔狲,Felis manul,Ⅱ,猫科,Felidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
金猫,Felis temmincki,Ⅱ,猫科,Felidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
渔猫,Felis viverrinus,Ⅱ,猫科,Felidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
云豹,Neofelis nebulosa,Ⅰ,猫科,Felidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
豹,Panthera pardus,Ⅰ,猫科,Felidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
虎,Panthera tigris,Ⅰ,猫科,Felidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
雪豹,Panthera uncia,Ⅰ,猫科,Felidae,食肉目,Carnivora,哺乳纲,Mammalia,林业
鳍足目（所有种）,Pinnipedia,Ⅱ,猫科,Felidae,鳍足目,Pinnipedia,哺乳纲,Mammalia,渔业
儒艮,Dugong dugong,Ⅰ,儒艮科,Dugongidae,海牛目,Sirenia,哺乳纲,Mammalia,渔业
白鱀豚,Lipotes vexillifer,Ⅰ,喙豚科,Platanistidae,鲸目,Cetacea,哺乳纲,Mammalia,渔业
中华白海豚,Sousa chinensis,Ⅰ,海豚科,Delphinidae,鲸目,Cetacea,哺乳纲,Mammalia,渔业
其他鲸类,(Cetacea),Ⅱ,其他鲸类,(Cetacea),鲸目,Cetacea,哺乳纲,Mammalia,渔业
亚洲象,Elephas maximus,Ⅰ,象科,Elephantidae,长鼻目,Proboscidea,哺乳纲,Mammalia,林业
蒙古野驴,Equus hemionus,Ⅰ,马科,Equidae,奇蹄目,Perissodactyla,哺乳纲,Mammalia,林业
西藏野驴,Equus kiang,Ⅰ,马科,Equidae,奇蹄目,Perissodactyla,哺乳纲,Mammalia,林业
野马,Equus przewalskii,Ⅰ,马科,Equidae,奇蹄目,Perissodactyla,哺乳纲,Mammalia,林业
野骆驼,Camelus ferus (C. bactrianus),Ⅰ,驼科,Camelidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
鼷鹿,Tragulus javanicus,Ⅰ,鼷鹿科,Tragulidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
麝（所有种）,Moschus spp.,Ⅰ,麝科,Moschidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
河麂,Hydropotes inermis,Ⅱ,鹿科,Cervidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
黑麂,Muntiacus crinifrons,Ⅰ,鹿科,Cervidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
白唇鹿,Cervus albirostris,Ⅰ,鹿科,Cervidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
马鹿,Cervus elaphus,Ⅱ,鹿科,Cervidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
坡鹿,Cervus eldi,Ⅰ,鹿科,Cervidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
梅花鹿,Cervus nippon,Ⅰ,鹿科,Cervidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
豚鹿,Cervus porcinus,Ⅰ,鹿科,Cervidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
水鹿,Cervus unicolor,Ⅱ,鹿科,Cervidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
麋鹿,Elaphurus davidianus,Ⅰ,鹿科,Cervidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
驼鹿,Alces alces,Ⅱ,鹿科,Cervidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
野牛,Bos gaurus,Ⅰ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
野犛牛,Bos mutus (B. grunniens),Ⅰ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
黄羊,Procapra gutturosa,Ⅱ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
普氏原羚,Procapra przewalskii,Ⅰ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
藏原羚,Procapra picticaudata,Ⅱ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
鹅喉羚,Gazella subgutturosa,Ⅱ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
藏羚,Pantholops hodgsoni,Ⅰ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
高鼻羚羊,Saiga tatarica,Ⅰ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
扭角羚,Budorcas taxicolor,Ⅰ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
鬣羚,Capricornis sumatraensis,Ⅱ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
台湾鬣羚,Capricornis crispus,Ⅰ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
赤斑羚,Naemorhedus cranbrooki,Ⅰ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
斑羚,Naemorhedus goral,Ⅱ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
塔尔羊,Hemitragus jemlahicus,Ⅰ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
北山羊,Capra ibex,Ⅰ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
岩羊,Pseudois nayaur,Ⅱ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
盘羊,Ovis ammon,Ⅱ,牛科,Bovidae,偶蹄目,Artiodactyla,哺乳纲,Mammalia,林业
海南兔,Lepus peguensis hainanus,Ⅱ,兔科,Leporidae,兔形目,Lagomorpha,哺乳纲,Mammalia,林业
雪兔,Lepus timidus,Ⅱ,兔科,Leporidae,兔形目,Lagomorpha,哺乳纲,Mammalia,林业
塔尔木兔,Lepus yarkandensis,Ⅱ,兔科,Leporidae,兔形目,Lagomorpha,哺乳纲,Mammalia,林业
巨松鼠,Ratufa bicolor,Ⅱ,松鼠科,Sciuridae,啮齿目,Rodentia,哺乳纲,Mammalia,林业
河狸,Castor fiber,Ⅰ,河狸科,Castoridae,啮齿目,Rodentia,哺乳纲,Mammalia,林业
角鸊鷉,Podiceps auritus,Ⅱ,鸊鷉科,Podicipedidae,鸊鷉目,Podicipediformes,鸟纲,Aves,林业
赤颈鸊鷉,Podiceps grisegena,Ⅱ,鸊鷉科,Podicipedidae,鸊鷉目,Podicipediformes,鸟纲,Aves,林业
短尾信天翁,Diomedea albatrus,Ⅰ,短尾信天翁,Diomedea albatrus,鹱形目,Procellariiformes,鸟纲,Aves,林业
鹈鹕（所有种）,Pelecanus spp.,Ⅱ,鹈鹕科,Pelecanidae,鹈形目,Pelecaniformes,鸟纲,Aves,林业
鲣鸟（所有种）,Sula spp.,Ⅱ,鲣鸟科,Sulidae,鹈形目,Pelecaniformes,鸟纲,Aves,林业
海鸬鹚,Phalacrocorax pelagicus,Ⅱ,鸬鹚科,Phalacrocoracidae,鹈形目,Pelecaniformes,鸟纲,Aves,林业
黑颈鸬鹚,Phalacrocorax niger,Ⅱ,鸬鹚科,Phalacrocoracidae,鹈形目,Pelecaniformes,鸟纲,Aves,林业
白腹军舰鸟,Fregata andrewsi,Ⅰ,军舰鸟科,Fregatidae,鹈形目,Pelecaniformes,鸟纲,Aves,林业
黄嘴白鹭,Egretta eulophotes,Ⅱ,鹭科,Ardeidae,鹳形目,Ciconiiformes,鸟纲,Aves,林业
岩鹭,Egretta sacra,Ⅱ,鹭科,Ardeidae,鹳形目,Ciconiiformes,鸟纲,Aves,林业
海南鳽,Gorsachius magnificus,Ⅱ,鹭科,Ardeidae,鹳形目,Ciconiiformes,鸟纲,Aves,林业
小苇鳽,Ixbrychus minutus,Ⅱ,鹭科,Ardeidae,鹳形目,Ciconiiformes,鸟纲,Aves,林业
彩鹳,Ibis leucocephalus,Ⅱ,鹳科,Ciconiidae,鹳形目,Ciconiiformes,鸟纲,Aves,林业
白鹳,Ciconia ciconia,Ⅰ,鹳科,Ciconiidae,鹳形目,Ciconiiformes,鸟纲,Aves,林业
黑鹳,Ciconia nigra,Ⅰ,鹳科,Ciconiidae,鹳形目,Ciconiiformes,鸟纲,Aves,林业
埃及圣鹮,Threskiornis aethiopicus,Ⅱ,鹮科,Threskiornithidae,鹳形目,Ciconiiformes,鸟纲,Aves,林业
黑鹮,Pseudibis papillosa,Ⅱ,鹮科,Threskiornithidae,鹳形目,Ciconiiformes,鸟纲,Aves,林业
朱鹮,Nipponia nippon,Ⅰ,鹮科,Threskiornithidae,鹳形目,Ciconiiformes,鸟纲,Aves,林业
彩鹮,Plegadis falcinellus,Ⅱ,鹮科,Threskiornithidae,鹳形目,Ciconiiformes,鸟纲,Aves,林业
白琵鹭,Platalea leucorodia,Ⅱ,鹮科,Threskiornithidae,鹳形目,Ciconiiformes,鸟纲,Aves,林业
黑脸琵鹭,Platalea minor,Ⅱ,鹮科,Threskiornithidae,鹳形目,Ciconiiformes,鸟纲,Aves,林业
红胸黑雁,Branta ruficollis,Ⅱ,鸭科,Anatidae,雁形目,Anseriformes,鸟纲,Aves,林业
白额雁,Anser albifrons,Ⅱ,鸭科,Anatidae,雁形目,Anseriformes,鸟纲,Aves,林业
天鹅（所有种）,Cygnus spp.,Ⅱ,鸭科,Anatidae,雁形目,Anseriformes,鸟纲,Aves,林业
鸳鸯,Aix galericulata,Ⅱ,鸭科,Anatidae,雁形目,Anseriformes,鸟纲,Aves,林业
中华秋沙鸭,Mergus squamatus,Ⅰ,鸭科,Anatidae,雁形目,Anseriformes,鸟纲,Aves,林业
金雕,Aquila chrysaetos,Ⅰ,鹰科,Accipitridae,隼形目,Falconiformes,鸟纲,Aves,林业
白肩雕,Aquila heliaca,Ⅰ,鹰科,Accipitridae,隼形目,Falconiformes,鸟纲,Aves,林业
玉带海雕,Haliaeetus leucoryphus,Ⅰ,鹰科,Accipitridae,隼形目,Falconiformes,鸟纲,Aves,林业
白尾海雕,Haliaeetus albcilla,Ⅰ,鹰科,Accipitridae,隼形目,Falconiformes,鸟纲,Aves,林业
虎头海雕,Haliaeetus pelagicus,Ⅰ,鹰科,Accipitridae,隼形目,Falconiformes,鸟纲,Aves,林业
白背兀鹫,Gyps bengalensis,Ⅰ,鹰科,Accipitridae,隼形目,Falconiformes,鸟纲,Aves,林业
胡兀鹫,Gypaetus barbatus,Ⅰ,鹰科,Accipitridae,隼形目,Falconiformes,鸟纲,Aves,林业
其他鹰类,(Accipitridae),Ⅱ,鹰科,Accipitridae,隼形目,Falconiformes,鸟纲,Aves,林业
隼科（所有种）,Falconidae,Ⅱ,鹰科,Accipitridae,隼形目,Falconiformes,鸟纲,Aves,林业
黑嘴松鸡,Tetrao parvirostris,Ⅰ,松鸡科,Tetraonidae,鸡形目,Galliformes,鸟纲,Aves,林业
黑琴鸡,Lyrurus tetrix,Ⅱ,松鸡科,Tetraonidae,鸡形目,Galliformes,鸟纲,Aves,林业
柳雷鸟,Lagopus lagopus,Ⅱ,松鸡科,Tetraonidae,鸡形目,Galliformes,鸟纲,Aves,林业
岩雷鸟,Lagopus mutus,Ⅱ,松鸡科,Tetraonidae,鸡形目,Galliformes,鸟纲,Aves,林业
镰翅鸡,Falcipennis falcipennis,Ⅱ,松鸡科,Tetraonidae,鸡形目,Galliformes,鸟纲,Aves,林业
花尾榛鸡,Tetrastes bonasia,Ⅱ,松鸡科,Tetraonidae,鸡形目,Galliformes,鸟纲,Aves,林业
斑尾榛鸡,Tetrastes sewerzowi,Ⅰ,松鸡科,Tetraonidae,鸡形目,Galliformes,鸟纲,Aves,林业
雪鸡（所有种）,Tetraogallus spp.,Ⅱ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
雉鹑,Tetraophasis obscurus,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
四川山鹧鸪,Arborophila rufipectus,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
海南山鹧鸪,Arborophila ardens,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
血雉,Ithaginis cruentus,Ⅱ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
黑头角雉,Tragopan melanocephalus,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
红胸角雉,Tragopan satyra,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
灰腹角雉,Tragopan blythii,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
红腹角雉,Tragopan temminckii,Ⅱ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
黄腹角雉,Tragopan caboti,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
虹雉属（所有种）,Lophophorus spp.,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
藏马鸡,Crossoptilon crossoptilon,Ⅱ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
蓝马鸡,Crossoptilon aurtun,Ⅱ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
褐马鸡,Crossoptilon mantchuricum,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
黑鹇,Lophura leucomelana,Ⅱ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
白鹇,Lophura nycthemera,Ⅱ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
蓝鹇,Lophura swinhoii,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
原鸡,Gallus gallus,Ⅱ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
勺鸡,Pucrasia macrolopha,Ⅱ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
黑颈长尾雉,Syrmaticus humiae,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
白冠长尾雉,Syrmaticus reevesii,Ⅱ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
白颈长尾雉,Syrmaticus ewllioti,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
黑长尾雉,Syrmaticus mikado,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
锦鸡（所有种）,Chrysolophus spp.,Ⅱ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
灰孔雀雉,Polyplectron bicalcaratum,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
绿孔雀,Pavo muticus,Ⅰ,雉科,Phasianidae,鸡形目,Galliformes,鸟纲,Aves,林业
灰鹤,Grus grus,Ⅱ,鹤科,Gruidae,鹤形目,Gruiformes,鸟纲,Aves,林业
黑颈鹤,Grus nigricollis,Ⅰ,鹤科,Gruidae,鹤形目,Gruiformes,鸟纲,Aves,林业
白头鹤,Grus monacha,Ⅰ,鹤科,Gruidae,鹤形目,Gruiformes,鸟纲,Aves,林业
沙丘鹤,Grus canadensis,Ⅱ,鹤科,Gruidae,鹤形目,Gruiformes,鸟纲,Aves,林业
丹顶鹤,Grus japonensis,Ⅰ,鹤科,Gruidae,鹤形目,Gruiformes,鸟纲,Aves,林业
白枕鹤,Grus vipio,Ⅱ,鹤科,Gruidae,鹤形目,Gruiformes,鸟纲,Aves,林业
白鹤,Grus leucogeranus,Ⅰ,鹤科,Gruidae,鹤形目,Gruiformes,鸟纲,Aves,林业
赤颈鹤,Grus antigone,Ⅰ,鹤科,Gruidae,鹤形目,Gruiformes,鸟纲,Aves,林业
蓑羽鹤,Anthropoides virgo,Ⅱ,鹤科,Gruidae,鹤形目,Gruiformes,鸟纲,Aves,林业
长脚秧鸡,Crex crex,Ⅱ,秧鸡科,Rallidae,鹤形目,Gruiformes,鸟纲,Aves,林业
姬田鸡,Porzana parva,Ⅱ,秧鸡科,Rallidae,鹤形目,Gruiformes,鸟纲,Aves,林业
棕背田鸡,Porzana bicolor,Ⅱ,秧鸡科,Rallidae,鹤形目,Gruiformes,鸟纲,Aves,林业
花田鸡,Coturnicops noveboracensis,Ⅱ,秧鸡科,Rallidae,鹤形目,Gruiformes,鸟纲,Aves,林业
鸨（所有种）,Otis spp.,Ⅰ,鸨科,Otidae,鹤形目,Gruiformes,鸟纲,Aves,林业
铜翅水雉,Metopidius indicus,Ⅱ,雉鸻科,Jacanidae,鸻形目,Charadriiformes,鸟纲,Aves,林业
爱斯基摩杓鹬,Numenius borealis,Ⅱ,鹬科,Soolopacidae,鸻形目,Charadriiformes,鸟纲,Aves,林业
小青脚鹬,Tringa guttifer,Ⅱ,鹬科,Soolopacidae,鸻形目,Charadriiformes,鸟纲,Aves,林业
灰燕鸻,Glareola lactea,Ⅱ,燕鸻科,Glareolidae,鸻形目,Charadriiformes,鸟纲,Aves,林业
遗鸥,Larus relictus,Ⅰ,鸥科,Laridae,鸥形目,Lariformes,鸟纲,Aves,林业
小鸥,Larus minutus,Ⅱ,鸥科,Laridae,鸥形目,Lariformes,鸟纲,Aves,林业
黑浮鸥,Chlidonias niger,Ⅱ,鸥科,Laridae,鸥形目,Lariformes,鸟纲,Aves,林业
黄嘴河燕鸥,Sterna aurantia,Ⅱ,鸥科,Laridae,鸥形目,Lariformes,鸟纲,Aves,林业
黑嘴端凤头燕鸥,Thalasseus zimmermanni,Ⅱ,鸥科,Laridae,鸥形目,Lariformes,鸟纲,Aves,林业
黑腹沙鸡,Pterocles orientalis,Ⅱ,沙鸡科,Pteroclididae,鸽形目,Columbiformes,鸟纲,Aves,林业
绿鸠（所有种）,Treron spp.,Ⅱ,鸠鸽科,Columbidae,鸽形目,Columbiformes,鸟纲,Aves,林业
黑颏果鸠,Ptilinopus leclancheri,Ⅱ,鸠鸽科,Columbidae,鸽形目,Columbiformes,鸟纲,Aves,林业
皇鸠属（所有种）,Ducula spp.,Ⅱ,鸠鸽科,Columbidae,鸽形目,Columbiformes,鸟纲,Aves,林业
斑尾林鸽,Columba palumbus,Ⅱ,鸠鸽科,Columbidae,鸽形目,Columbiformes,鸟纲,Aves,林业
鹃鸠属（所有种）,Macropygia spp.,Ⅱ,鸠鸽科,Columbidae,鸽形目,Columbiformes,鸟纲,Aves,林业
鹦鹉科（所有种）,Psittacidae,Ⅱ,鸠鸽科,Columbidae,鹦形目,Psittaciformes,鸟纲,Aves,林业
鸦鹃（所有种）,Centropus spp.,Ⅱ,杜鹃科,Cuculidae,鹃形目,Cuculiformes,鸟纲,Aves,林业
鸮形目（所有种）,Strigiformes,Ⅱ,杜鹃科,Cuculidae,鸮形目,Strigiformes,鸟纲,Aves,林业
灰喉针尾雨燕,Hirundapus cochinchinensis,Ⅱ,雨燕科,Apodidae,雨燕目,Apodiformes,鸟纲,Aves,林业
凤头树燕,Hemiprocne longipennis,Ⅱ,凤头雨燕科,Hemiprocnidae,雨燕目,Apodiformes,鸟纲,Aves,林业
橙胸咬鹃,Harpactes oreskios,Ⅱ,咬鹃科,Trogonidae,咬鹃目,Trogoniformes,鸟纲,Aves,林业
蓝耳翠鸟,Alcedo meninting,Ⅱ,翠鸟科,Alcedinidae,佛法僧目,Coraciiformes,鸟纲,Aves,林业
鹳嘴翡翠,Pelargopsis capensis,Ⅱ,翠鸟科,Alcedinidae,佛法僧目,Coraciiformes,鸟纲,Aves,林业
黑胸蜂虎,Merops leschenaulti,Ⅱ,蜂虎科,Meropidae,佛法僧目,Coraciiformes,鸟纲,Aves,林业
绿喉蜂虎,Merops orientalis,Ⅱ,蜂虎科,Meropidae,佛法僧目,Coraciiformes,鸟纲,Aves,林业
犀鸟科（所有种）,Bucertidae,Ⅱ,蜂虎科,Meropidae,佛法僧目,Coraciiformes,鸟纲,Aves,林业
白腹黑啄木鸟,Dryocopus javensis,Ⅱ,啄木鸟科,Picidae,䴕形目,Piciformes,鸟纲,Aves,林业
阔嘴鸟科（所有种）,Eurylaimidae,Ⅱ,啄木鸟科,Picidae,雀形目,Passeriformes,鸟纲,Aves,林业
八色鸫科（所有种）,Pittidae,Ⅱ,啄木鸟科,Picidae,雀形目,Passeriformes,鸟纲,Aves,林业
地龟,Geoemyda spengleri,Ⅱ,泽龟科,Emydidae,龟鳖目,Testudoformes,爬行纲,Reptilia,林业
三线闭壳龟,Cuora trifasciata,Ⅱ,泽龟科,Emydidae,龟鳖目,Testudoformes,爬行纲,Reptilia,林业
云南闭壳龟,Cuora yunnanensis,Ⅱ,泽龟科,Emydidae,龟鳖目,Testudoformes,爬行纲,Reptilia,林业
四爪陆龟,Testudo horsfieldi,Ⅰ,陆龟科,Testudinidae,龟鳖目,Testudoformes,爬行纲,Reptilia,林业
凹甲陆龟,Manouria impressa,Ⅱ,陆龟科,Testudinidae,龟鳖目,Testudoformes,爬行纲,Reptilia,林业
